group;method;variant;comparison_dataset;mmd2;raw_mmd2;delta_mmd2;reduction_percent;interpretation
blender;saturation;value_b;blender_saturation_value_b;0.0889549728026368;0.0903328465573274;0.0013778737546906034;1.5253297191472555;better_than_raw
blender;saturation;value_c;blender_saturation_value_c;0.0918298107088304;0.0903328465573274;-0.0014969641515029941;-1.6571648171775306;worse_than_raw
blender;white_fog;value_a;blender_white_fog_value_a;0.1152956156300348;0.0903328465573274;-0.024962769072707405;-27.63421061558758;worse_than_raw
blender;white_fog;value_b;blender_white_fog_value_b;0.1876060078115242;0.0903328465573274;-0.0972731612541968;-107.68304660084513;worse_than_raw
blender;white_fog;value_c;blender_white_fog_value_c;0.3452769149873799;0.0903328465573274;-0.25494406843005246;-282.22742683997984;worse_than_raw
mixed;compression_artefacts;value_a;mixed_compression_artefacts_value_a;0.0701037546200737;0.0755543592608329;0.0054506046407591935;7.214149777833888;better_than_raw
mixed;compression_artefacts;value_b;mixed_compression_artefacts_value_b;0.0705188934719855;0.0755543592608329;0.005035465788847393;6.664692597635144;better_than_raw
mixed;compression_artefacts;value_c;mixed_compression_artefacts_value_c;0.0739619810912091;0.0755543592608329;0.0015923781696237926;2.1075927123231866;better_than_raw
mixed;contrast;value_a;mixed_contrast_value_a;0.0956966438199784;0.0755543592608329;-0.020142284559145504;-26.659328139636795;worse_than_raw
mixed;contrast;value_b;mixed_contrast_value_b;0.0691961250901731;0.0755543592608329;0.006358234170659796;8.415443176097295;better_than_raw
mixed;contrast;value_c;mixed_contrast_value_c;0.0832656435668666;0.0755543592608329;-0.007711284306033697;-10.206273180627976;worse_than_raw
mixed;dark_smoke;value_a;mixed_dark_smoke_value_a;0.0654429878358933;0.0755543592608329;0.010111371424939605;13.382909369971063;better_than_raw
mixed;dark_smoke;value_b;mixed_dark_smoke_value_b;0.0781821624700405;0.0755543592608329;-0.0026278032092076076;-3.4780299044503327;worse_than_raw
mixed;dark_smoke;value_c;mixed_dark_smoke_value_c;0.1156007854799867;0.0755543592608329;-0.0400464262191538;-53.00346215749555;worse_than_raw
mixed;gaussian_blur;value_a;mixed_gaussian_blur_value_a;0.0722304039046446;0.0755543592608329;0.0033239553561883045;4.399422334736721;better_than_raw
mixed;gaussian_blur;value_b;mixed_gaussian_blur_value_b;0.058431597770274;0.0755543592608329;0.0171227614905589;22.66283727117156;better_than_raw
mixed;gaussian_blur;value_c;mixed_gaussian_blur_value_c;0.0615430183407912;0.0755543592608329;0.0140113409200417;18.544715430212282;better_than_raw
mixed;gaussian_noise_color;value_a;mixed_gaussian_noise_color_value_a;0.0687570402755812;0.0755543592608329;0.006797318985251696;8.99659404401223;better_than_raw
mixed;gaussian_noise_color;value_b;mixed_gaussian_noise_color_value_b;0.0827090620326704;0.0755543592608329;-0.007154702771837496;-9.469609486247695;worse_than_raw
mixed;gaussian_noise_color;value_c;mixed_gaussian_noise_color_value_c;0.1370751161004348;0.0755543592608329;-0.0615207568396019;-81.42582035169748;worse_than_raw
mixed;gaussian_noise_grey;value_a;mixed_gaussian_noise_grey_value_a;0.0684380117442251;0.0755543592608329;0.007116347516607793;9.418844374075556;better_than_raw
mixed;gaussian_noise_grey;value_b;mixed_gaussian_noise_grey_value_b;0.07996317298616;0.0755543592608329;-0.0044088137253271015;-5.835287028385421;worse_than_raw
mixed;gaussian_noise_grey;value_c;mixed_gaussian_noise_grey_value_c;0.1049116676866521;0.0755543592608329;-0.029357308425819198;-38.85587636905276;worse_than_raw
mixed;saturation;value_a;mixed_saturation_value_a;0.0581746216899783;0.0755543592608329;0.0173797375708546;23.002958056801614;better_than_raw
mixed;saturation;value_b;mixed_saturation_value_b;0.0746382972278949;0.0755543592608329;0.0009160620329379948;1.212454240761298;better_than_raw
mixed;saturation;value_c;mixed_saturation_value_c;0.076037255731689;0.0755543592608329;-0.00048289647085610066;-0.6391378016839757;worse_than_raw
mixed;white_fog;value_a;mixed_white_fog_value_a;0.0603258860642859;0.0755543592608329;0.015228473196547;20.155651302626275;better_than_raw
mixed;white_fog;value_b;mixed_white_fog_value_b;0.1184817747762387;0.0755543592608329;-0.0429274155154058;-56.816596600613636;worse_than_raw
mixed;white_fog;value_c;mixed_white_fog_value_c;0.2660336810748891;0.0755543592608329;-0.19047932181405622;-252.10897647410798;worse_than_raw
