reference_dataset;comparison_dataset;group;variant;mmd2;gamma;median_dist_sq;n_reference;n_comparison;feature_dim
realworld_A;mixed_white_fog_value_b;mixed;value_b;0.118275913496807;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_gaussian_noise_color_value_c;arma;value_c;0.12368228427814865;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;blender_dark_smoke_value_b;blender;value_b;0.1258244984704513;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;blender_contrast_value_a;blender;value_a;0.12762350704507264;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_gaussian_noise_color_value_a;arma;value_a;0.13150210853064448;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;blender_gaussian_noise_grey_value_b;blender;value_b;0.13250956094086686;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_compression_artefacts_value_b;arma;value_b;0.13325610424835266;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_gaussian_noise_grey_value_b;arma;value_b;0.13577674105966753;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;mixed_gaussian_noise_color_value_c;mixed;value_c;0.13683598658640705;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_contrast_value_b;arma;value_b;0.13754183558637623;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_gaussian_noise_grey_value_c;arma;value_c;0.1396433297196813;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_gaussian_noise_grey_value_a;arma;value_a;0.13996015819723806;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_gaussian_blur_value_a;arma;value_a;0.14065106078278067;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_compression_artefacts_value_c;arma;value_c;0.14184738993680912;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;blender_gaussian_blur_value_c;blender;value_c;0.14199155250755902;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_saturation_value_c;arma;value_c;0.14543498020038692;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_raw;arma;raw;0.14815088323062642;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_saturation_value_b;arma;value_b;0.14825762095374628;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;blender_gaussian_noise_color_value_b;blender;value_b;0.15962703075764395;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;blender_dark_smoke_value_c;blender;value_c;0.15968733689194292;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_contrast_value_c;arma;value_c;0.16418958473405754;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;blender_gaussian_noise_grey_value_c;blender;value_c;0.18405587959897507;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;blender_white_fog_value_b;blender;value_b;0.18730684529371056;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;arma_white_fog_value_c;arma;value_c;0.2318116563399153;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;blender_gaussian_noise_color_value_c;blender;value_c;0.2447643669110029;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;mixed_white_fog_value_c;mixed;value_c;0.2657736225063152;0.0006338943448824137;788.7749812514089;500;500;448
realworld_A;blender_white_fog_value_c;blender;value_c;0.34497705616728847;0.0006338943448824137;788.7749812514089;500;500;448
